A/C,N,R,O,RU,UO,U,RO
vazpooThandu LR,6.06E-05,0.000560818,0.000181887,0.000318302,0.000151573,0.000833649,0.000181887
vazpooThandu HR,1.52E-05,9.09E-05,6.06E-05,0,0,0.000181887,4.55E-05
vazpooThandu KR,0.000500189,0.000651762,0.000515347,9.09E-05,0.000181887,0.000909435,0.000287988
vazpooThandu MR,3.03E-05,0.000181887,0.000151573,9.09E-05,0.00016673,0.000409246,0.000121258
vazpooThandu NR,0.000106101,0.000818492,0.000621448,0.000348617,0.000287988,0.001500568,0.00033346
yams LR,7.58E-05,0.000454718,0.000151573,9.09E-05,9.09E-05,0.000666919,0.000121258
yams HR,0,3.03E-05,1.52E-05,3.03E-05,4.55E-05,0.000121258,3.03E-05
yams MR,4.55E-05,0.000181887,0.000136415,9.09E-05,9.09E-05,0.000378931,0.000136415
yams KR,0.000348617,3.03E-05,4.55E-05,1.52E-05,0,4.55E-05,0
yams NR,0.000242516,0.001606669,0.001182266,0.000621448,0.000560818,0.002622205,0.000682077
gram LR,4.55E-05,0.000378931,0.000121258,7.58E-05,0.000151573,0.00043956,0.000136415
gram HR,0,4.55E-05,1.52E-05,1.52E-05,1.52E-05,4.55E-05,1.52E-05
gram KR,0.000469875,0.000530504,0.000424403,0.000242516,0.000136415,0.001242895,0.000257673
gram MR,1.52E-05,0.000106101,0.000106101,4.55E-05,3.03E-05,0.000212202,3.03E-05
gram NR,0.000181887,0.001242895,0.000863964,0.000469875,0.000454718,0.001894657,0.000530504
channa LR,0,6.06E-05,3.03E-05,1.52E-05,0,1.52E-05,0
channa HR,0,0,0,0,0,1.52E-05,0
channa KR,0.000651762,0.001970443,0.00127321,0.00077302,0.000666919,0.003304282,0.000818492
channa MR,0,0,0,1.52E-05,0,4.55E-05,0
channa NR,6.06E-05,0.000272831,0.000227359,4.55E-05,0.000121258,0.000454718,0.000151573
dhal LR,0,3.03E-05,4.55E-05,3.03E-05,1.52E-05,0.000212202,1.52E-05
dhal HR,0,1.52E-05,0,0,0,3.03E-05,1.52E-05
dhal MR,0,1.52E-05,6.06E-05,1.52E-05,1.52E-05,0.000121258,0
dhal KR,0.000621448,0.001727927,0.00110648,0.000666919,0.000575976,0.002591891,0.000803335
dhal NR,9.09E-05,0.000515347,0.000318302,0.000136415,0.000181887,0.000879121,0.000136415
maida LR,0,3.03E-05,0,0,0,3.03E-05,1.52E-05
maida KR,0.000697234,0.001985601,0.001348996,0.000651762,0.000666919,0.002955665,0.000848806
maida NR,1.52E-05,0.000287988,0.000181887,0.000197044,0.000121258,0.000848806,0.000106101
oats LR,4.55E-05,0.000257673,0.000151573,0.000106101,0.00016673,0.000560818,0.000121258
oats HR,1.52E-05,6.06E-05,3.03E-05,1.52E-05,0,0.00016673,1.52E-05
oats KR,0.000378931,0.000227359,0.000181887,4.55E-05,6.06E-05,0.000363774,0.000197044
oats MR,0,0.000151573,6.06E-05,7.58E-05,4.55E-05,0.000318302,3.03E-05
oats NR,0.000272831,0.001606669,0.00110648,0.00060629,0.000515347,0.002425161,0.00060629
ragi LR,3.03E-05,0.000348617,0.000136415,9.09E-05,0.000136415,0.000500189,7.58E-05
ragi HR,1.52E-05,1.52E-05,0,0,0,9.09E-05,0
ragi KR,0.00043956,0.000560818,0.000363774,0.000227359,0.00016673,0.000788177,0.000181887
ragi MR,0,0.000197044,7.58E-05,7.58E-05,9.09E-05,0.000287988,4.55E-05
ragi NR,0.000227359,0.001182266,0.000954907,0.000454718,0.000394089,0.002167488,0.000666919
rice LR,3.03E-05,0.000151573,0.000227359,4.55E-05,0.000106101,0.000591133,1.52E-05
rice HR,0,1.52E-05,4.55E-05,0,0,4.55E-05,0
rice KR,0.000545661,0.001288367,0.000591133,0.000500189,0.000212202,0.001364153,0.00043956
rice MR,0,1.52E-05,0.000106101,1.52E-05,4.55E-05,0.000181887,3.03E-05
rice NR,0.000136415,0.000833649,0.000560818,0.000287988,0.000424403,0.001652141,0.000485032
wheat LR,3.03E-05,0.000181887,0.000197044,0.000106101,0.000106101,0.000272831,6.06E-05
wheat HR,0,1.52E-05,3.03E-05,0,1.52E-05,4.55E-05,3.03E-05
wheat KR,0.000515347,0.001045851,0.000682077,0.000485032,0.000318302,0.001834028,0.00043956
wheat MR,0,0.000106101,7.58E-05,1.52E-05,3.03E-05,0.000348617,4.55E-05
wheat NR,0.00016673,0.000954907,0.000545661,0.000242516,0.000318302,0.001333839,0.000394089
coconut LR,3.03E-05,0.000227359,0.00016673,6.06E-05,1.52E-05,0.000287988,0.000121258
coconut HR,0,1.52E-05,1.52E-05,0,0,6.06E-05,0
coconut MR,1.52E-05,6.06E-05,0.000151573,1.52E-05,6.06E-05,0.000181887,3.03E-05
coconut KR,0.000560818,0.001000379,0.000651762,0.00043956,0.000348617,0.001743085,0.00043956
coconut NR,0.000106101,0.001000379,0.000545661,0.00033346,0.000363774,0.001561197,0.000378931
oil LR,0,4.55E-05,1.52E-05,3.03E-05,0,1.52E-05,0
oil MR,0,1.52E-05,1.52E-05,0,3.03E-05,0,0
oil KR,0.000682077,0.002091701,0.00137931,0.000666919,0.000636605,0.003410383,0.000848806
oil NR,3.03E-05,0.000151573,0.000121258,0.000151573,0.000121258,0.000409246,0.000121258
garlic LR,3.03E-05,0.000212202,0.000227359,0.000151573,0.000121258,0.000757863,7.58E-05
garlic HR,0,6.06E-05,3.03E-05,0,0,0.000136415,3.03E-05
garlic KR,0.000378931,0.00043956,0.000257673,0.00016673,0.000106101,0.000575976,9.09E-05
garlic MR,4.55E-05,0.000106101,0.000181887,4.55E-05,6.06E-05,0.000227359,0.000136415
